Cumulated Regrets ; Chosen Arms ; Rewards
7.46291;0;2.53709
13.6314;0;3.83152
22.6709;0;0.960443
21.1183;0;11.5526
14.8008;0;16.3175
24.4894;1;0.311387
34.4191;1;0.0702989
-25624.3;1;25668.8
-25614.4;1;0.103815
-25621.8;1;17.4014
-25614.3;2;2.44993
-25605.1;2;0.773199
-25595.9;2;0.794501
-25592.4;2;6.56074
-25584.3;2;1.89056
-25575.3;1;0.934635
-25565.3;1;0.000767417
-25555.3;1;0.00483061
-25545.3;1;0.0268284
-25650.9;1;115.621
-25641.5;1;0.55429
-25631.5;1;0.00564488
-25621.8;1;0.329888
-25612.5;1;0.688689
-25603.3;1;0.794165
-25595.5;1;2.2294
-25585.5;1;0.017665
-25576.4;1;0.897719
-25566.5;1;0.118292
-25556.6;1;0.0353219
-25546.9;1;0.343301
-25538;1;1.08738
-25532;1;4.0355
-25523.6;1;1.60519
-25513.7;1;0.101323
-25506.5;1;2.78409
-25497.2;1;0.705726
-25487.2;1;0.00277178
-25477.4;1;0.122719
-25471.7;1;4.35903
-25469.6;1;7.86845
-25460.2;1;0.58181
-25450.2;1;0.0414983
-25440.4;1;0.189947
-25430.4;1;0.00228098
-25421.5;1;1.08173
-25411.9;1;0.454399
-25402.4;1;0.411064
-25392.4;1;0.00172578
-25382.5;1;0.141012
-25372.6;1;0.138598
-25362.7;1;0.031881
-25357.4;1;4.74965
-25364.9;1;17.4701
-25358.6;1;3.67657
-25356.9;1;8.31613
-25346.9;1;0.0534592
-25348.1;1;11.1279
-25338.2;1;0.122459
-25329.8;1;1.65548
-25319.9;1;0.0373011
-25334.4;1;24.5308
-25486.8;1;162.443
-25489.3;1;12.4583
-25480.6;1;1.24775
-25471.1;1;0.568913
-25461.4;1;0.26994
-25451.5;1;0.128798
-25467.4;1;25.8275
-25493.8;1;36.4985
-25484;1;0.108067
-25474.1;1;0.1002
-25464.1;1;0.0611194
-25454.5;1;0.36406
-25444.5;1;0.0390562
-25444.9;1;10.3467
-25437.7;1;2.80982
-25428.2;1;0.491289
-25418.2;1;0.0763638
-25408.3;1;0.0749182
-25398.5;1;0.134525
-25388.5;1;0.0401652
-25378.6;1;0.0565864
-25369.6;1;1.00803
-25364.6;1;5.07957
-25354.7;1;0.0672022
-25345.4;1;0.677657
-25335.8;1;0.460005
-25328.3;1;2.47387
-25329.7;1;11.371
-25320.7;1;0.996025
-25312.1;1;1.44699
-25303.9;1;1.77994
-25295;1;1.07622
-25285.1;1;0.0923459
-25293.5;1;18.4557
-25284.3;1;0.756781
-25274.3;1;0.0212545
-25264.6;1;0.2396
-25254.7;1;0.106129
-25244.8;1;0.109353
-25236;1;1.25418
-25244.3;1;18.2303
-25234.3;1;0.00643663
-25224.8;1;0.500668
-25215.6;1;0.840279
-25208.4;1;2.79858
-25198.4;1;7.58153e-005
-25189.6;1;1.22501
-25180.4;1;0.749635
-25170.9;1;0.52135
-25161.1;1;0.217204
-25153.2;1;2.06393
-25143.3;1;0.0979781
-25148.7;1;15.3807
