Cumulated Regrets ; Chosen Arms ; Rewards
-2.38676;0;12.3868
5.32185;0;2.29138
10.5029;0;4.81891
6.8633;0;13.6396
12.1441;0;4.71916
21.6839;1;0.460242
31.6679;1;0.0160099
41.4554;1;0.212481
51.4107;1;0.0446651
61.3981;1;0.0126523
62.1681;2;9.23004
69.9257;2;2.24234
78.7584;2;1.16734
85.8948;2;2.86363
89.3609;2;6.53386
94.5634;1;4.79744
104.095;2;0.46888
105.368;0;8.72659
113.88;1;1.48793
123.552;0;0.327998
129.129;0;4.42299
138.917;1;0.212508
143.658;1;5.25808
152.772;1;0.886286
157.826;0;4.94666
160.451;0;7.37457
167.169;1;3.28218
167.087;1;10.0813
165.236;1;11.8513
175.013;1;0.223021
183.468;1;1.54471
192.657;1;0.81164
202.459;1;0.198209
212.449;1;0.0094913
221.494;1;0.955533
230.66;1;0.833819
240.598;1;0.0620343
250.52;1;0.0774241
260.379;1;0.141692
270.241;1;0.137382
279.905;1;0.336594
289.867;1;0.0372011
299.83;1;0.0370978
308.461;1;1.36929
318.096;1;0.364958
320.573;1;7.52328
329.757;1;0.815494
339.731;1;0.026285
348.957;1;0.773757
84.8272;1;274.13
94.7165;1;0.110742
104.647;1;0.0693058
114.633;1;0.0139676
124.553;1;0.0800812
132.463;1;2.09038
142.397;1;0.0654641
152.267;1;0.129857
162.215;1;0.0523127
170.552;1;1.6629
180.067;1;0.485251
189.372;1;0.694571
183.917;1;15.4554
193.502;1;0.415053
203.263;1;0.239282
198.785;1;14.4774
198.458;1;10.327
-1192.64;1;1401.1
-1414.64;1;231.997
-1404.64;1;0.00198571
-1394.87;1;0.227212
-1384.89;1;0.0213533
-1377.53;1;2.64596
-1368.2;1;0.662309
-1361.93;1;3.72951
-1352.11;1;0.185262
-1342.14;1;0.026042
-1332.32;1;0.181205
-1322.79;1;0.47407
-1328.12;1;15.3235
-1442.47;1;124.35
-1485.72;1;53.2493
-1475.76;1;0.0407444
-1465.78;1;0.0245831
-1456.17;1;0.388787
-1475.97;1;29.7967
-1465.98;1;0.0123815
-1467.54;1;11.5601
-1457.57;1;0.0347903
-1447.61;1;0.0395935
-1437.62;1;0.00294691
-1428.59;1;0.96913
-1418.59;1;0.00263329
-1408.6;1;0.00907076
-1398.65;1;0.049381
-1389.24;1;0.592707
-1381.66;1;2.42472
-1371.82;1;0.159598
-1388.41;1;26.5847
-1378.55;1;0.137627
-1381.99;1;13.4485
-1388.7;1;16.7031
-76278.3;1;74899.6
-76268.4;1;0.0383039
-76260.6;1;2.23435
-76252.2;1;1.61639
-76243.2;1;0.991743
-76248.4;1;15.1529
-76238.4;1;0.0727826
-76228.5;1;0.0356104
-76235.9;1;17.4294
-76226.1;1;0.237769
-76221.2;1;5.0664
-76211.3;1;0.0778311
-76201.5;1;0.234407
-76191.6;1;0.0378506
