Cumulated Regrets ; Chosen Arms ; Rewards
9.17551;0;0.824492
-4.29334;0;23.4688
-11.858;0;17.5647
-3.45163;0;1.59361
-9.91112;0;16.4595
-1.8426;1;1.93148
5.6085;1;2.54891
13.4708;1;2.13768
23.4508;1;0.020051
33.1938;1;0.256945
42.3027;2;0.891115
52.028;2;0.274753
61.7985;2;0.229408
71.4802;2;0.318308
81.0601;2;0.420168
90.6515;1;0.408541
100.607;1;0.0440608
107.856;1;2.75151
113.71;2;4.14623
123.659;1;0.0506611
124.196;0;9.4633
121.775;0;12.4213
129.708;1;2.06691
139.073;1;0.634234
148.791;1;0.282663
158.677;1;0.113553
166.839;2;1.83805
144.398;1;32.4407
152.993;1;1.40504
159.468;0;3.52573
153.824;2;15.644
162.178;1;1.64562
150.21;0;21.9676
160.21;1;0.000401037
165.184;2;5.02649
173.557;1;1.62676
174.586;0;8.971
184.307;1;0.278904
194.27;1;0.0370419
202.505;0;1.76464
212.236;2;0.269622
185.017;1;37.2183
194.642;0;0.375703
195.524;2;9.11751
205.512;1;0.0123067
195.168;2;20.3442
189.198;1;15.97
198.944;1;0.253534
208.944;1;0.00019102
-866.764;1;1085.71
-859.08;1;2.31587
-849.163;1;0.0826567
-852.456;1;13.2934
-854.198;0;11.7422
-848.779;2;4.58047
-840.31;2;1.53092
-842.358;0;12.0486
-832.643;1;0.284673
-823.453;1;0.809995
-813.577;1;0.124062
-804.964;2;1.38738
-808.645;0;13.6812
-801.567;1;2.92168
-791.978;1;0.411185
-1831.16;1;1049.18
-1845.85;0;24.6868
-1835.89;1;0.0391265
-1825.97;1;0.0831131
-1816.16;1;0.184994
-1807.77;1;1.6198
-1798.67;1;0.891577
-1788.67;1;0.00222444
-1780.24;1;1.56921
-1771.75;2;1.50932
-1762.58;1;0.832865
-1752.58;1;0.00447799
-1752.62;0;10.0405
-1775.57;0;32.9411
-1765.62;1;0.0545446
-1756.02;1;0.402596
-1757.94;1;11.9141
-1750.47;1;2.52773
-1740.52;1;0.0515076
-1742.88;1;12.3588
-1733.58;1;0.709498
-1737.04;1;13.4536
-1727.57;1;0.534572
-1718.13;2;0.555299
-1718.81;2;10.6861
-1739.94;0;31.1268
-1729.95;1;0.00739654
-1722.23;2;2.28295
-1714.96;2;2.72498
-1707.5;1;2.5465
-1701.96;0;4.45836
-1694.69;2;2.72518
-1684.78;1;0.0941369
-1700.6;0;25.8184
-1713.96;1;23.3605
-1716.69;1;12.7269
-1708.51;1;1.82157
-1709.45;0;10.9413
-6844.43;1;5144.98
-6836.38;1;1.95049
-6826.87;1;0.480593
-6817.97;1;1.10522
-6828.41;0;20.4411
-6818.5;1;0.0863448
-6810.43;1;1.9336
-6837.03;0;36.6028
-6827.11;1;0.0783029
-6817.21;1;0.10242
-6807.29;1;0.0710264
-6803.6;2;6.30986
-6793.6;1;0.00680398
