Cumulated Regrets ; Chosen Arms ; Rewards
5.54471;0;4.45529
14.716;0;0.828748
18.4036;0;6.31235
27.4812;0;0.922379
28.1133;0;9.36796
37.6213;1;0.491964
41.8747;1;5.7466
46.0071;1;5.86764
29.4742;1;26.5329
38.7893;1;0.684926
47.1537;2;1.63561
38.0005;2;19.1531
39.7096;2;8.29095
46.3856;2;3.32399
56.2805;2;0.105114
64.1411;0;2.13935
71.995;1;2.14608
81.2993;1;0.695747
91.1104;1;0.188913
96.2715;1;4.83884
99.4949;1;6.77661
109.24;1;0.255152
118.936;1;0.304164
128.864;1;0.0714954
138.835;1;0.0293319
148.834;1;0.000790345
158.772;1;0.061505
167.529;1;1.24347
174.438;1;3.09092
184.437;1;0.00103432
194.419;1;0.0176704
153.292;1;51.1279
119.9;1;43.3916
127.934;1;1.96561
137.441;1;0.493131
139.792;1;7.6497
149.784;1;0.00795349
159.612;1;0.171204
169.058;1;0.554099
179.036;1;0.0226678
189.031;1;0.00458247
198.979;1;0.0523909
207.116;1;1.86283
216.792;1;0.323302
226.763;1;0.0294568
236.641;1;0.121914
246.579;1;0.0622704
117.071;1;139.508
113.625;1;13.4459
123.294;1;0.331208
132.279;1;1.01444
15.5003;1;126.779
22.3289;1;3.17135
27.7706;1;4.55827
37.6843;1;0.0863137
-43.8673;1;91.5517
-33.942;1;0.0746466
-25.9334;1;1.99138
-15.9571;1;0.0237634
-15.1169;1;9.15979
-6.57632;1;1.4594
3.17342;1;0.250258
13.1665;1;0.00688053
15.814;1;7.35256
25.7489;1;0.0650527
-430.178;1;465.927
-423.262;1;3.0839
-413.568;1;0.305885
-403.736;1;0.167682
-393.967;1;0.231483
-383.971;1;0.00342761
-376.4;1;2.42964
-367.691;1;1.29061
-802.687;1;444.996
-796.804;1;4.11681
-786.857;1;0.0534276
-801.57;1;24.7125
-792.26;1;0.690894
-783.466;1;1.20515
-773.63;1;0.164423
-763.637;1;0.00738597
-753.882;1;0.244849
-744.016;1;0.13375
-734.016;1;0.000148171
-727.888;1;3.87193
-829.256;1;111.368
-819.303;1;0.0464889
-811.549;1;2.24584
-802.701;1;1.1525
-792.726;1;0.0246676
-892.066;1;109.34
-882.067;1;0.00165834
-872.075;1;0.00731283
-866.354;1;4.2796
-858.64;1;2.28628
-852.399;1;3.75868
-846.118;1;3.71857
-837.07;1;0.952041
-827.302;1;0.232315
-822.734;1;5.43245
-812.748;1;0.0140026
-802.754;1;0.00541171
-792.812;1;0.0585895
-782.861;1;0.0484771
-777.56;1;4.69931
-1284.03;1;516.472
-1278.47;1;4.43487
-1268.47;1;0.00784571
-1258.73;1;0.253763
-1251.1;1;2.3736
-1255.54;1;14.4375
-1245.81;1;0.268984
-1237.76;1;1.94901
-1228.63;1;0.87243
-1220.11;1;1.47559
