Cumulated Regrets ; Chosen Arms ; Rewards
-5.45623;0;15.4562
1.66054;0;2.88323
-0.741372;0;12.4019
-20.0535;0;29.3122
-10.2481;0;0.194592
-0.353451;1;0.105337
9.48593;1;0.160619
19.4446;1;0.0413369
28.4314;1;1.01321
-2019.91;1;2058.34
-2015.75;2;5.83635
-2007.82;2;2.07809
-1999.46;2;1.63092
-1993.55;2;4.09102
-1984.41;2;0.859721
-1975.23;2;0.820456
-1966.38;2;1.15727
-1963.62;2;7.24058
-1954.17;2;0.540371
-1945.01;2;0.84523
-1935.67;2;0.663136
-1929.45;2;3.77521
-1929.76;2;10.3097
-1924.16;2;4.40162
-1914.41;2;0.252452
-1906.26;2;1.84814
-1897.15;2;0.892235
-1891.66;2;4.50236
-1884.29;2;2.63036
-1883.29;2;9.00526
-1875.02;2;1.72929
-1866.19;2;1.1671
-1858.47;2;2.28046
-1849.36;2;0.88859
-1839.5;2;0.139828
-1831.61;2;2.10945
-1825.18;2;3.57454
-1815.47;2;0.286953
-1812.6;2;7.12933
-1802.69;2;0.0942079
-1793.19;2;0.494753
-1795.16;2;11.9732
-1788.06;2;2.906
-1779.13;2;1.06474
-1770.47;2;1.34508
-1762.44;2;1.96737
-1753.5;2;1.06081
-1744.51;2;1.0072
-1742.25;2;7.73872
-1735.22;2;2.97387
-1729.44;2;4.21988
-1723.2;2;3.75416
-1717.04;2;3.84859
-1707.26;2;0.217186
-1699.26;2;2.00147
-1689.54;2;0.279179
-1683.82;2;4.27663
-1675.47;2;1.65399
-1668.2;2;2.72633
-1658.47;2;0.271141
-1649.43;2;0.956326
-1642.36;2;2.93296
-1633.11;2;0.753607
-1623.88;2;0.76641
-1615.59;2;1.70823
-1618.69;2;13.1001
-1609.4;2;0.710927
-1605.16;2;5.75635
-1596.16;2;1.0027
-1591.59;2;5.43036
-1582.96;2;1.37052
-1581.17;2;8.20692
-1577.06;2;5.8963
-1569.09;2;2.0254
-1559.15;2;0.0669779
-1550.5;2;1.3488
-1544.5;2;4.00048
-1536.7;2;2.19798
-1528.35;2;1.64949
-1518.44;2;0.0883881
-1515.64;2;7.19867
-1506;2;0.356957
-1507.76;2;11.7611
-1501.25;2;3.49261
-1493.25;2;2.00437
-1487.25;2;3.99438
-1479.91;2;2.66507
-1472.17;2;2.2552
-1463.99;2;1.82446
-1459.28;2;5.28608
-1455.41;2;6.12972
-1447.44;2;2.02881
-1447.91;2;10.4731
-1444.5;2;6.58917
-1434.95;2;0.446421
-1426.67;2;1.72103
-1417.93;2;1.26438
-1408.31;2;0.379846
-1400.7;2;2.38385
-1394.96;2;4.2692
-1385.06;2;0.0988143
-1375.38;2;0.321444
-1368.04;2;2.6524
-1361.6;2;3.5627
-1356.31;2;4.70811
-1352;2;5.69109
-1348.24;2;6.24508
-1341.03;2;2.79034
-1340.24;2;9.20904
-1344.33;2;14.0869
-1340.38;2;6.05382
-1333.48;2;3.09941
-1326.27;2;2.78399
-1323.58;2;7.31485
-1315.47;2;1.88769
